==========================================
SLURM_JOB_ID = 6156120
SLURM_JOB_NODELIST = d18-30
TMPDIR = /tmp/SLURM_6156120
==========================================
10_10_15_01_10_462 [22, 24, 26, 28, 30, 32, 34, 36, 38, 40, 42, 44, 46] [Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Tanh(), Sigmoid()] 100 0.001 15
Epoch 63: Loss = 0.42317, Training (Code) = 0.12581, Validation (Code) = 0.12446, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 64: Loss = 0.42317, Training (Code) = 0.12572, Validation (Code) = 0.12171, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 65: Loss = 0.42317, Training (Code) = 0.12621, Validation (Code) = 0.12554, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 66: Loss = 0.42317, Training (Code) = 0.12643, Validation (Code) = 0.12337, Training (X) = 0.99984, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 67: Loss = 0.42317, Training (Code) = 0.12569, Validation (Code) = 0.12417, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 68: Loss = 0.42317, Training (Code) = 0.12449, Validation (Code) = 0.12571, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 69: Loss = 0.42317, Training (Code) = 0.12632, Validation (Code) = 0.12621, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 70: Loss = 0.42317, Training (Code) = 0.12486, Validation (Code) = 0.12629, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 71: Loss = 0.42317, Training (Code) = 0.12708, Validation (Code) = 0.12571, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 72: Loss = 0.42317, Training (Code) = 0.12696, Validation (Code) = 0.12633, Training (X) = 1.0, Validation (X) = 0.99967, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 73: Loss = 0.42317, Training (Code) = 0.12597, Validation (Code) = 0.12767, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99992, Validation (Z) = 1.0
