==========================================
SLURM_JOB_ID = 6150673
SLURM_JOB_NODELIST = d23-10
TMPDIR = /tmp/SLURM_6150673
==========================================
Epoch 61: Loss = 0.4691, Training (Code) = 0.37274, Validation (Code) = 0.37575, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 62: Loss = 0.469, Training (Code) = 0.37448, Validation (Code) = 0.37579, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 0.99989
Epoch 63: Loss = 0.46891, Training (Code) = 0.37335, Validation (Code) = 0.37946, Training (X) = 0.99994, Validation (X) = 0.99989, Training (Z) = 1.0, Validation (Z) = 0.99989
Epoch 64: Loss = 0.46881, Training (Code) = 0.3749, Validation (Code) = 0.37775, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 65: Loss = 0.46872, Training (Code) = 0.37366, Validation (Code) = 0.37496, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 0.99989
Epoch 66: Loss = 0.46862, Training (Code) = 0.37495, Validation (Code) = 0.37558, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 67: Loss = 0.46853, Training (Code) = 0.3726, Validation (Code) = 0.37538, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 68: Loss = 0.46844, Training (Code) = 0.37361, Validation (Code) = 0.37533, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99992, Validation (Z) = 1.0
Epoch 69: Loss = 0.46835, Training (Code) = 0.37208, Validation (Code) = 0.37592, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 70: Loss = 0.46827, Training (Code) = 0.37315, Validation (Code) = 0.37896, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 71: Loss = 0.46819, Training (Code) = 0.37211, Validation (Code) = 0.37829, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 0.99989
Epoch 72: Loss = 0.46811, Training (Code) = 0.3729, Validation (Code) = 0.37525, Training (X) = 1.0, Validation (X) = 0.99989, Training (Z) = 1.0, Validation (Z) = 0.99989
Epoch 73: Loss = 0.46803, Training (Code) = 0.37332, Validation (Code) = 0.37729, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 0.99989
Epoch 74: Loss = 0.46795, Training (Code) = 0.3744, Validation (Code) = 0.37479, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 75: Loss = 0.46788, Training (Code) = 0.37415, Validation (Code) = 0.37588, Training (X) = 0.99989, Validation (X) = 1.0, Training (Z) = 0.99994, Validation (Z) = 1.0
Epoch 76: Loss = 0.46781, Training (Code) = 0.37336, Validation (Code) = 0.37783, Training (X) = 0.99994, Validation (X) = 0.99989, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 77: Loss = 0.46774, Training (Code) = 0.3724, Validation (Code) = 0.37588, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 78: Loss = 0.46768, Training (Code) = 0.37324, Validation (Code) = 0.37371, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99992, Validation (Z) = 1.0
Epoch 79: Loss = 0.46761, Training (Code) = 0.37498, Validation (Code) = 0.37512, Training (X) = 1.0, Validation (X) = 0.99989, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 80: Loss = 0.46755, Training (Code) = 0.37238, Validation (Code) = 0.37842, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 81: Loss = 0.46749, Training (Code) = 0.37499, Validation (Code) = 0.37533, Training (X) = 0.99997, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 0.99989
Epoch 82: Loss = 0.46744, Training (Code) = 0.37444, Validation (Code) = 0.377, Training (X) = 0.99994, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
Epoch 83: Loss = 0.46738, Training (Code) = 0.3731, Validation (Code) = 0.37592, Training (X) = 1.0, Validation (X) = 1.0, Training (Z) = 1.0, Validation (Z) = 1.0
Epoch 84: Loss = 0.46733, Training (Code) = 0.37341, Validation (Code) = 0.375, Training (X) = 0.99992, Validation (X) = 1.0, Training (Z) = 0.99997, Validation (Z) = 1.0
